fraction,seed,n_train,macro_f1
1.0,42,1811,0.8003285845371897
1.0,7,1811,0.8003285845371897
1.0,123,1811,0.8003285845371897
0.75,42,1358,0.7501817184222282
0.75,7,1358,0.762770761325973
0.75,123,1358,0.7795574523361735
0.5,42,905,0.725725424066285
0.5,7,905,0.7243620493329909
0.5,123,905,0.7151915323357771
0.25,42,452,0.5971429456177596
0.25,7,452,0.6213106438587391
0.25,123,452,0.5568877551020408
0.1,42,181,0.43449830364104897
0.1,7,181,0.4292094677401639
0.1,123,181,0.465623086945908
