feature,importance
his,0.002177368757625816
it won,0.0021686619802432686
drop,0.0021615102527777035
to net,0.002160471058117476
manufacturing,0.0021583852137600132
pretax profit,0.0021573535442737848
ruukki,0.002153773143549139
communications,0.002153746172731417
contract is,0.0021519493550577326
both operating,0.0021511199878168088
plants,0.002132495682280545
st petersburg,0.002130735577646729
now,0.0021214893662523907
dropped to,0.0021213688183844078
increase of,0.002120807968399465
applications,0.0021138074454434175
the stock,0.002109158908851861
program,0.0021080423067266598
it is,0.002106023264744647
in 2006,0.0021027496022301586
available,0.002102603259850266
totaled,0.0020967177317700327
as compared,0.0020874427392022013
held,0.002086340269690489
of 2007,0.002086168441672872
is the,0.002083454609378422
under the,0.0020812291004255667
built,0.002077214519979063
33,0.0020768029483816883
eur0,0.0020737349736585724
are expected,0.0020694853709577556
2006,0.0020647984475439304
12,0.0020632396427909152
2011,0.002060087410791904
using,0.0020593941637505678
month period,0.0020590250094359498
owns,0.0020575096275713104
statements,0.0020548568683579527
margin,0.0020547501005509835
control,0.002053215103983793
at the,0.0020492959049094287
st,0.0020480210628352506
ahlstrom,0.002047581286151326
sales to,0.0020338660427481367
them,0.002033107415566071
located,0.002033061629772137
during,0.0020314007181283012
the previous,0.002029071358327106
capital and,0.0020262573441546254
and an,0.0020213256839925193
petersburg,0.0020205347050273313
fall,0.0020190869904956462
vice,0.002017392287521511
facilities,0.0020143694859979344
of directors,0.0020142355928387725
been awarded,0.0020139224410394233
issue,0.0020091473596349912
the nordic,0.0020076705973527276
electronics,0.0020049825975558366
however,0.0019979463239380314
june,0.0019975346668849136
range,0.0019939933477406005
the shares,0.001992157107058255
negative,0.001987516695170953
company is,0.0019841680847589994
significant,0.0019821048480517744
500,0.001979723254088388
shares and,0.001979494400248049
oyj hel,0.0019704316295575015
mln euro,0.001967538529545891
provided,0.0019643629936362986
real,0.0019636611378249643
nasdaq omx,0.001960223376748826
subscription,0.0019581302904849774
percent of,0.001950370858875296
in helsinki,0.0019460144090274068
stockmann,0.00194420103346555
over,0.0019436670212521195
mobile,0.001938703366343958
company and,0.0019385938726462037
espoo,0.0019372360447483452
nasdaq,0.0019351205918204531
china,0.0019329234753911683
previous,0.0019303642286644458
director,0.001925317626875077
offices,0.001916705090098996
down to,0.0019164349591815877
tax,0.0019131723161891062
completed,0.001912375304078513
number of,0.0019118228051911482
as of,0.0019096596837615738
nordic,0.0019085653314819347
stock option,0.0019078005761577097
first quarter,0.0019047338355962313
own,0.0019027104264017112
this,0.001900809221788514
trade,0.001900588408084568
is eur,0.0018987331748238209
credit,0.001896694791448565
order is,0.0018905335571967558
sector,0.0018894160557172165
present,0.0018887277556691256
purchase,0.0018862954617880044
systems,0.0018857015345151431
company said,0.0018726070103469458
listed,0.0018718713107664891
transfer,0.0018618811850526066
state,0.0018602877366742294
name,0.0018599106010382567
due to,0.0018587480826783777
solutions,0.0018561055466154012
disclose,0.0018549339041199085
we,0.0018541837763912257
deliveries,0.001854001896730041
will take,0.0018534851824160347
of 2009,0.0018514977074698884
today its,0.0018507676107485061
financial statements,0.0018467116940077846
share eps,0.0018461408772824312
system,0.0018458604409103952
acquisition,0.0018457779932148249
revenue,0.0018454842548616156
contract to,0.0018442406299373217
publish,0.0018422529472108555
elcoteq,0.0018389655649135523
loss totalled,0.001837728488026922
set,0.0018371436259318034
largest,0.0018325001940282114
scanfil,0.001832460820240154
pretax loss,0.001831738259011169
is scheduled,0.0018292898614101366
space,0.0018224112458287908
company will,0.0018199636441797466
when,0.0018192347028780794
jumped,0.0018159594232893153
from profit,0.001815940770505245
in january,0.0018149579653833877
of its,0.0018125556367015426
capacity of,0.001809252743619001
the development,0.0018084031708792804
currently,0.001808056265870453
scheduled,0.0018066955252405042
facility,0.0018056178561835694
capacity,0.0018050962009993287
is also,0.0018042359723885284
has been,0.0018039233784812217
russia,0.0017944767491739348
of some,0.001792989200054955
fixed,0.0017923382254295905
sell,0.0017918886490767196
versus,0.0017912514026515545
the plant,0.0017877046685594036
said on,0.0017819023044602807
compared with,0.0017718743928623686
is in,0.0017716498897169457
return,0.0017681010757653103
general,0.0017626748837631665
product,0.0017624375899977314
finnair,0.0017617673352054832
amounted,0.0017598847144442561
savings of,0.001759101533542632
july,0.0017566500014817377
amounted to,0.0017561592847443034
complete,0.0017530013038327351
networks,0.0017522125182743385
from mln,0.0017472258681858247
to start,0.0017430157608322515
loan,0.001742222666922024
press,0.0017378864507792014
supply,0.001734973368812082
increased from,0.0017349458870650827
january,0.001732355543371586
27,0.0017290961456410032
type,0.0017276228967943856
holds,0.0017266785889905093
analysis,0.0017258551761453738
operations in,0.0017241222758851548
decision,0.0017201394261227622
can be,0.0017149236225840292
