feature,importance
and morrisons,0.0012087229068426235
all cut,0.001206362053325501
american tobacco,0.001204611313293573
coo,0.001204162914747635
mount,0.0011958980440969456
wpp,0.0011952687289220356
new,0.0011946690368350996
news,0.0011880733902145401
but,0.001186954843678344
jpmorgan,0.0011864404374627572
arm holdings,0.0011862486419832606
morrisons will,0.001185540541658771
tesco and,0.0011816247144684974
rogers to,0.0011798152861087878
petrol prices,0.001179797597188518
appoints jpmorgan,0.0011791982364542889
home,0.0011783666081917096
announces,0.0011699269144273977
back,0.0011687175616806869
one,0.0011678579726242346
replace,0.0011642688782812095
national,0.0011598016896021955
profit,0.00115574686642633
slides on,0.0011538180846652059
will all,0.0011524323771682837
you,0.0011520050675208136
as oil,0.0011512738868750731
offer for,0.0011480988841350496
statoil,0.001147891037582326
surges as,0.0011423972463947846
sainsbury asda,0.001141227345502247
to step,0.0011411693357224726
in on,0.0011407313548241816
fda approves,0.0011392218289391553
for sabmiller,0.0011371200040554334
forex,0.001136119194719136
loss,0.0011348490843634449
replace home,0.001131892286216797
merger,0.0011304454459546034
sue,0.0011253054549383134
step,0.0011209901412173506
british american,0.0011185762398741902
under,0.001115351232782869
partner,0.0011147518261376992
change,0.0011126076581663015
pharma,0.001109157887777813
sale,0.001105416638567399
turnaround,0.0011031670285946143
brexit,0.0011011992442564117
has,0.001100297249462632
easyjet,0.0010991421902926798
balfour,0.0010974168787879404
threat,0.0010930709497735914
mln,0.0010842555848447147
standard life,0.0010834391963270226
lehman,0.0010812070588594996
bidding,0.0010779111363963707
financial,0.0010725965661442822
zs,0.001069529656578733
results,0.0010679951553999815
national grid,0.001067244693896568
outlook,0.001067196223271192
bg deal,0.001061975978136508
for uk,0.001061216780562796
unilever,0.001060460436640971
itv share,0.0010579354209798045
admiral,0.001057041485854969
may,0.0010568687801447015
but dividend,0.0010548280728220935
bp,0.0010524533414279353
vote,0.0010516291404891744
to reinstate,0.001049101177679526
rises,0.0010480523929270625
once,0.0010473364208373986
court,0.0010454326913060046
rogers,0.0010435783648020394
to replace,0.0010325549688260235
stocks,0.0010321799547282624
reinstate,0.0010305165482324401
once more,0.001022812307296314
falls as,0.0010205705431482418
plc once,0.0010204579213559672
as ceo,0.0010197083886111108
retail ceo,0.0010141765521067153
cfo rogers,0.0010124678764316165
glaxosmithkline,0.0010123065300087339
2014,0.0010118622954393003
grid,0.001010171484260819
christmas,0.001009503591405412
diageo,0.00100880325621655
chartered rbs,0.0010087304833882396
holdings plc,0.0010069171552882748
officer,0.0010062897593345998
bank of,0.0010041179287453472
benchmark,0.0010030577523364329
eu,0.0010012381477436496
clients,0.0010009423360442837
and standard,0.0009978580283720754
quarter,0.0009977365090926159
beatty plc,0.00099717433062486
persimmon,0.0009963790253477225
legal general,0.0009963496109097346
movers,0.0009943575524429744
to sell,0.0009928908158676761
grid plc,0.0009917504719348222
plc and,0.00099166370707556
stanchart,0.0009865209140206997
continues,0.000985657699356598
next,0.0009851131059610634
lse deutsche,0.0009825322895810804
ex,0.0009796790586653367
and centrica,0.0009795442438873627
jumps on,0.0009790183330543852
as chief,0.0009779796860511492
entertainment,0.0009768188310148294
forecasts,0.000976747822152681
offers,0.0009763680229985259
strategic,0.0009751437858630005
and rbs,0.0009751324648050645
sees,0.0009735371132239343
ice,0.0009702286928703137
positive,0.0009697832160747232
feedftse 100,0.000969617968635938
ftse falls,0.0009691256712260854
100 movers,0.0009688684693673079
rival national,0.0009677970680116735
continues kantar,0.0009664736965301123
ashtead,0.0009652068259515652
holdings,0.0009650927299985746
rbs,0.0009646845601775385
lower as,0.0009641423164476284
company,0.0009639005830068359
whitbread,0.0009607207623286984
beatty,0.0009590212604971456
asset,0.0009586282965695187
climbs,0.0009572124058394189
news feedftse,0.000957210033684315
zs pharma,0.0009566789391073644
severn trent,0.0009564297769395427
kingfisher,0.0009552779912859752
morris,0.0009552246106641124
should you,0.0009541770741077174
asthma,0.0009527629145965171
up to,0.0009524991841887405
balfour beatty,0.000952274155127777
kraft,0.0009519924513781522
secure,0.0009518779823447321
dividend and,0.000950578459150445
feedftse,0.0009489693793546036
life announce,0.0009474686436772981
price slides,0.0009449508461742845
avoidance,0.0009399006105378014
credit,0.0009393749810382385
about,0.0009391826903424262
old mutual,0.0009386956444388611
market report,0.0009383260057897108
trent,0.0009368771851941424
year results,0.0009344270485192342
finance chief,0.0009328889015644676
attack,0.0009322154769972024
climbs on,0.0009306168117202337
price fall,0.000928957016599812
streaming ambitions,0.0009286866315824495
bat,0.0009266115814810773
against bg,0.0009260816100917221
said to,0.0009249901767846784
markets,0.0009227980143765459
blames,0.0009216855681491461
how pulling,0.0009216019136065094
said,0.0009198788597359545
fda,0.0009188208159945876
nps,0.0009157723031478658
for billion,0.0009147571344906189
announce position,0.000914709094341688
pulling product,0.00091465371136707
remain,0.0009146114216294227
bln,0.0009126801604473203
slashes,0.0009113671894208402
stress,0.0009096127463940204
and rival,0.0009095390176973444
lead,0.0009071165265058711
year,0.0009042686301124763
concerns,0.0009037262620720193
closes,0.0009023143301355501
former,0.0009010962033187102
price climbs,0.0008995853015905217
metals,0.0008992475946495789
direct,0.0008968436459796619
percent,0.000896753112498329
rio tinto,0.0008965268603322229
chief to,0.0008946877423069746
ubs and,0.0008942812053213874
avoidance clients,0.0008928550678556479
sales growth,0.0008919091870441858
in bank,0.0008917618232105338
ahead of,0.0008911256000875619
top,0.0008907299896644366
tinto,0.0008905871269315835
up assets,0.0008902787208219438
legal,0.0008899541074110666
blames rivals,0.0008892833635238697
sued,0.0008892826137973294
insurer,0.0008866445406741787
probe,0.0008860391850939707
bg acquisition,0.0008859631896348028
sales fall,0.000884021268420382
novartis,0.0008838076156586038
price standard,0.0008819573101815222
strong,0.0008811279474918671
how,0.0008805843874197366
grow,0.0008800609574829699
group plc,0.0008794528333162186
update astrazeneca,0.0008770985084533918
of the,0.0008765530974300437
downplay brexit,0.0008763035591549565
rally,0.0008759014492044212
tesco sells,0.0008734860966326938
end,0.0008724187260776733
motiva divide,0.0008722782970902823
acquisition,0.0008716721414640219
shares plunge,0.0008715605836200395
sell,0.0008713818985938007
break,0.0008705576113255521
announce,0.0008699424651443872
three,0.000869077265531621
blinkbox sale,0.0008673936315183077
rio,0.0008666632991143168
coutts sued,0.0008662193367701811
up motiva,0.0008657827644820736
jump,0.0008656872204981116
reinstate dividend,0.0008652399488055071
march,0.0008635616609458764
the discounters,0.0008634897428044992
sales rise,0.0008631736075564836
discounters continues,0.0008616471808851986
rsa insurance,0.0008609259783849114
johnson,0.0008608174263329267
arm,0.0008604612590083875
rivals,0.0008601652400163367
rights,0.0008598673139741772
bank,0.0008590343036089836
rsa,0.0008589295258168647
underlying,0.0008566261590859937
old,0.0008563273942987162
position,0.0008561838282147619
finance,0.0008552961700136661
taking branding,0.0008552595723475621
tax avoidance,0.0008548483145908823
gains,0.0008546695440701126
as march,0.0008526095618001368
acerta,0.0008525747830405006
100,0.0008520769644881842
raises,0.0008510703369874177
on financial,0.0008490802312566245
ambitions,0.000846902060984323
shell share,0.0008451571557844227
tesco asda,0.0008439511093166805
brexit threat,0.0008433795975696657
affects,0.0008419466235500013
steadies,0.000841282521133901
baxalta,0.000840698989619112
packs,0.0008405767230681293
branding,0.0008404219371415502
morris bat,0.0008401584680487826
under pressure,0.0008399787239368945
mutual,0.0008398983097152214
divide up,0.000839726116947601
inbev to,0.0008393436536545333
product,0.0008335515128625109
to break,0.0008320737835129518
plunge,0.0008318097608686051
tesco share,0.0008315973795355763
video,0.0008313481256585213
step down,0.0008303037598953961
position against,0.0008301516912163044
break up,0.0008293679385926433
bat sue,0.0008277276399045142
bounces,0.0008256533337174691
total recall,0.0008237845236565974
video streaming,0.000821102206939995
saudi aramco,0.0008204128302543375
pulling,0.0008191470501254423
bid,0.0008184534304426619
matthey,0.0008180470361584376
boost,0.0008179624233138951
buffett,0.0008178067891484245
spirits on,0.00081628439445626
philip morris,0.000815990377526858
in blinkbox,0.0008159036307117129
coutts,0.0008154076001036402
recall how,0.0008152780158263861
aramco,0.0008149320071538503
ubs,0.0008145168158532984
update barclays,0.0008143926277934916
over law,0.0008129464720265549
united,0.0008127950778751136
abandons,0.0008127291031556102
sue over,0.0008125800798134106
slashes dividend,0.0008121795824749641
financial irregularities,0.0008117704051903951
saudi,0.0008115619114788335
bã,0.0008105771365245759
ingenious,0.0008104704078295248
wins,0.0008103125025903427
branding off,0.0008102697655858837
