date,industry,sent_mean
2025-02-25,Financial Services,0.6666666666666666
2025-02-25,Healthcare,0.0
2025-02-25,Industrials,0.6666666666666666
2025-02-25,Real Estate,1.0
2025-02-25,Services,0.0
2025-02-25,Technology,-0.29411764705882354
2025-02-25,Utilities,0.3333333333333333
2025-02-26,Communication Services,0.0
2025-02-26,Industrials,1.0
2025-02-26,Technology,0.1111111111111111
2025-02-27,Consumer Cyclical,0.0
2025-02-27,Real Estate,1.0
2025-02-27,Technology,0.3333333333333333
2025-03-01,Consumer Defensive,1.0
2025-03-01,Services,0.0
2025-03-01,Technology,0.1
2025-03-02,Technology,-0.14285714285714285
2025-03-03,Healthcare,0.0
2025-03-03,Services,1.0
2025-03-03,Technology,0.0
2025-03-04,Communication Services,0.2
2025-03-04,Consumer Cyclical,-0.25
2025-03-04,Energy,0.6666666666666666
2025-03-04,Financial Services,0.3333333333333333
2025-03-04,Healthcare,0.4
2025-03-04,Industrials,0.6666666666666666
2025-03-04,Real Estate,0.5
2025-03-04,Technology,0.14285714285714285
2025-03-04,Utilities,1.0
2025-03-05,Basic Materials,-1.0
2025-03-05,Communication Services,-1.0
2025-03-05,Technology,0.07142857142857142
2025-03-06,Communication Services,0.3333333333333333
2025-03-06,Consumer Cyclical,-1.0
2025-03-06,Technology,-0.08333333333333333
2025-03-07,Communication Services,0.0
2025-03-07,Technology,0.15789473684210525
2025-03-08,Communication Services,-1.0
2025-03-08,Consumer Cyclical,-1.0
2025-03-08,Industrials,1.0
2025-03-08,Services,-1.0
2025-03-08,Technology,0.0
2025-03-09,Services,1.0
2025-03-09,Technology,1.0
2025-03-10,Communication Services,-1.0
2025-03-10,Financial Services,-1.0
2025-03-10,Technology,-0.11764705882352941
2025-03-11,Communication Services,0.6666666666666666
2025-03-11,Consumer Cyclical,-1.0
2025-03-11,Energy,0.6666666666666666
2025-03-11,Financial Services,0.3333333333333333
2025-03-11,Healthcare,0.3333333333333333
2025-03-11,Industrials,0.0
2025-03-11,Real Estate,0.3333333333333333
2025-03-11,Services,-1.0
2025-03-11,Technology,-0.15789473684210525
2025-03-11,Utilities,1.0
2025-03-12,Healthcare,0.0
2025-03-12,Technology,0.0
2025-03-13,Consumer Cyclical,0.0
2025-03-13,Technology,0.16666666666666666
2025-03-14,Consumer Cyclical,1.0
2025-03-14,Financial Services,0.0
2025-03-14,Healthcare,1.0
2025-03-14,Services,0.0
2025-03-14,Technology,0.5
2025-03-15,Financial Services,1.0
2025-03-15,Healthcare,-1.0
2025-03-15,Technology,-0.16666666666666666
2025-03-16,Communication Services,1.0
2025-03-16,Technology,0.25
2025-03-17,Communication Services,1.0
2025-03-17,Consumer Cyclical,0.0
2025-03-17,Technology,0.7
2025-03-18,Communication Services,0.5
2025-03-18,Consumer Cyclical,0.3333333333333333
2025-03-18,Energy,0.6666666666666666
2025-03-18,Financial Services,0.3333333333333333
2025-03-18,Healthcare,0.0
2025-03-18,Industrials,0.6666666666666666
2025-03-18,Real Estate,0.6666666666666666
2025-03-18,Technology,0.16666666666666666
2025-03-18,Utilities,0.6666666666666666
2025-03-19,Technology,0.6111111111111112
2025-03-20,Consumer Cyclical,-0.5
2025-03-20,Technology,0.46153846153846156
2025-03-21,Communication Services,0.0
2025-03-21,Consumer Cyclical,-1.0
2025-03-21,Healthcare,-1.0
2025-03-21,Technology,0.125
2025-03-22,Communication Services,1.0
2025-03-22,Services,-1.0
2025-03-22,Technology,1.0
2025-03-23,Industrials,1.0
2025-03-23,Services,1.0
2025-03-23,Technology,0.6
2025-03-24,Communication Services,0.0
2025-03-24,Consumer Cyclical,1.0
2025-03-24,Technology,0.47058823529411764
2025-03-25,Communication Services,0.25
2025-03-25,Consumer Cyclical,0.0
2025-03-25,Energy,1.0
2025-03-25,Financial Services,1.0
2025-03-25,Healthcare,0.3333333333333333
2025-03-25,Industrials,0.6666666666666666
2025-03-25,Real Estate,0.6666666666666666
2025-03-25,Services,1.0
2025-03-25,Technology,0.6153846153846154
2025-03-25,Utilities,0.3333333333333333
2025-03-26,Communication Services,0.0
2025-03-26,Financial Services,1.0
2025-03-26,Healthcare,-1.0
2025-03-26,Technology,0.375
2025-03-27,Communication Services,-1.0
2025-03-27,Financial Services,-1.0
2025-03-27,Technology,-0.4
2025-03-28,Services,0.3333333333333333
2025-03-28,Technology,0.0
2025-04-01,Communication Services,0.6666666666666666
2025-04-01,Consumer Cyclical,-0.5
2025-04-01,Energy,0.3333333333333333
2025-04-01,Financial Services,0.4
2025-04-01,Healthcare,0.25
2025-04-01,Industrials,1.0
2025-04-01,Real Estate,0.3333333333333333
2025-04-01,Technology,0.6666666666666666
2025-04-01,Utilities,1.0
2025-04-02,Communication Services,1.0
2025-04-02,Consumer Cyclical,-1.0
2025-04-02,Consumer Defensive,1.0
2025-04-02,Healthcare,-1.0
2025-04-02,Technology,-0.35714285714285715
2025-04-03,Basic Materials,0.0
2025-04-03,Technology,0.05263157894736842
2025-04-04,Technology,-0.5
2025-04-05,Financial Services,-1.0
2025-04-05,Industrials,1.0
2025-04-05,Technology,0.5
2025-04-06,Communication Services,1.0
2025-04-06,Services,1.0
2025-04-06,Technology,1.0
2025-04-07,Consumer Defensive,-1.0
2025-04-07,Services,-0.5
2025-04-07,Technology,0.06666666666666667
2025-04-08,Communication Services,0.0
2025-04-08,Consumer Cyclical,0.0
2025-04-08,Energy,0.6666666666666666
2025-04-08,Financial Services,0.0
2025-04-08,Healthcare,0.6666666666666666
2025-04-08,Industrials,1.0
2025-04-08,Real Estate,0.3333333333333333
2025-04-08,Technology,0.5
2025-04-08,Utilities,0.6666666666666666
2025-04-11,Services,1.0
2025-04-14,Services,1.0
2025-04-15,Communication Services,0.3333333333333333
2025-04-15,Consumer Cyclical,0.3333333333333333
2025-04-15,Energy,0.3333333333333333
