dataset,model,acc,macro_f1,f1_neg,f1_neu,f1_pos
fpb,LM,0.6484098939929329,0.4829490678119252,0.41008403361344536,0.7789866335094808,0.25977653631284914
fpb,VADER,0.5706713780918727,0.4866877018508586,0.27755102040816326,0.6728033472803348,0.5097087378640777
fiqa,LM,0.3172690763052209,0.3452281185614519,0.6618181818181819,0.14594594594594595,0.22792022792022792
fiqa,VADER,0.45582329317269077,0.423109986320313,0.5693430656934306,0.1702127659574468,0.5297741273100616
