,ret,sent
1,0.9145007076757353,0.33993047395925097
2,0.6161943380292051,0.16039410054725062
3,-1.1859120405426566,-0.048530804403887295
4,0.045920785125059954,-0.44184083647180367
5,-0.5946616531665803,-0.43751705021371456
6,0.9336991656398638,1.4953235544190318
7,0.558524027178978,-0.8100492062457558
8,0.18505536933708744,-0.9246592449044346
9,-0.3505044101005773,-0.18404337946195806
10,0.8808680502427002,-0.33963254397981524
11,0.0712494318780879,-1.2595479864638808
12,0.05408461971981805,0.5629778873159824
13,0.7368161189260024,-0.05021154614692625
14,0.16457350523277267,0.00042387818746747463
15,0.47290664652063263,0.5260154014896691
16,-0.09179642985224393,0.9698156310100834
17,-0.32032585020624693,0.3029565889620759
18,-1.5001411337680703,-0.2087822448062999
19,-0.6233401520856138,0.13021043480341954
20,-0.5727160098140194,-1.7993552874351915
21,0.967842913215283,-0.19656350049755783
22,-1.9091600550111851,0.029174055500264834
23,-1.5256225627597662,-0.37372880821162957
24,0.24201354006065265,0.1448698278330533
25,0.8680567135316247,-0.7140801372047582
26,-1.428370572113945,-1.5275175724539163
27,1.107735796205779,0.17786260041293322
28,-2.2793098021461504,-1.6890808184111918
29,0.1682253368367978,-0.6813249349000429
30,1.1285501797638888,-0.8109790867304567
31,-0.919430430972249,-0.6281855704597622
32,1.8049283654168986,1.1715300102739834
33,0.1827666762861628,0.8682921892413508
34,-1.046241534526109,-0.699932505683671
35,0.851632807236682,1.504429910368879
36,-0.5800782056219245,0.2868974666192504
37,0.10753503903340488,-0.5087293733629116
38,1.1311149097984268,0.6746292428513279
39,0.039952266586893714,0.7817235436026948
40,-1.3748300620131733,0.152213975471815
41,-0.4434194237497915,-2.1011683787094757
42,-0.907251806228214,-0.6334692297420399
43,0.6606590720045529,1.9300307366684097
44,0.20368217030332517,-2.5951449468746173
45,-3.3889487483389913,-0.7666513932398134
46,-3.196543130584484,-1.5001298176106996
47,0.9997122724758706,0.6966035468226024
48,-0.9915919315008083,0.7402259361061094
49,0.8985981325646525,0.38700414899992586
50,-0.3370380262219633,0.09671506300036642
51,-0.468243084972914,0.9779077040204142
52,0.46973310796694523,0.24321284886588745
53,0.48397174824214356,0.15694539735383398
54,-0.12901645479841617,-0.21025444284724945
55,2.5601024582375165,0.1964932734126103
56,1.008855456669235,-0.3038043628784781
57,0.2173664088228696,-0.21109965317612273
58,0.040688071482140695,0.33223035392067346
59,0.4334095946511574,0.2138979524875555
60,0.7712689847806431,-0.18997062325629974
61,0.05072124685631134,0.7572622151559572
62,-0.2834739179425311,-0.7057613690808591
63,0.6336639745529888,0.3899962191116272
64,0.21746884745288092,1.1804412418667458
65,0.11377157519927647,0.9212955735754809
66,-0.27904912710384755,0.366701556216809
67,0.45618229918213865,1.1283041446665854
68,-0.9367578304868053,-2.220729015404743
69,1.236872586683408,0.13073075669423628
70,-0.3754825451217106,1.4122242611727722
71,-0.12536112564918106,0.39104707549122464
72,-0.2804829618243271,-1.4261198665117178
73,0.8585563335150592,0.9869036387636893
74,0.8505367487132924,0.07515203940843607
75,0.37321054327359815,0.289567250678186
76,0.2756633753380659,0.13973970682134043
77,-0.11694107020495823,0.19776719044803812
78,0.5125997709829492,2.580524933182378
