method,frac_removed,prob,example_idx
IG,0.5,0.03903966769576073,13
IG,0.0,0.9371896982192993,14
IG,0.1,0.9386600852012634,14
IG,0.3,0.9464580416679382,14
IG,0.5,0.9313023090362549,14
IG,0.0,0.6993269920349121,15
IG,0.1,0.4781353771686554,15
IG,0.3,0.6982991695404053,15
IG,0.5,0.3847803473472595,15
IG,0.0,0.8997163772583008,16
IG,0.1,0.8988029360771179,16
IG,0.3,0.3841201961040497,16
IG,0.5,0.49750885367393494,16
IG,0.0,0.925837516784668,17
IG,0.1,0.9036617279052734,17
IG,0.3,0.9028182625770569,17
IG,0.5,0.9362989068031311,17
IG,0.0,0.9101896286010742,18
IG,0.1,0.9136135578155518,18
IG,0.3,0.891965925693512,18
IG,0.5,0.7730818390846252,18
IG,0.0,0.9260826110839844,19
IG,0.1,0.9287185072898865,19
IG,0.3,0.820600152015686,19
IG,0.5,0.9177392721176147,19
IG,0.0,0.8819466233253479,20
IG,0.1,0.8209868669509888,20
IG,0.3,0.8849084377288818,20
IG,0.5,0.8295161128044128,20
IG,0.0,0.9252344965934753,21
IG,0.1,0.9210827946662903,21
IG,0.3,0.9278126955032349,21
IG,0.5,0.9056116342544556,21
IG,0.0,0.930145263671875,22
IG,0.1,0.9262569546699524,22
IG,0.3,0.7870182991027832,22
IG,0.5,0.11460177600383759,22
IG,0.0,0.5273524522781372,23
IG,0.1,0.02901027724146843,23
IG,0.3,0.019678357988595963,23
IG,0.5,0.012819020077586174,23
IG,0.0,0.9453694224357605,24
IG,0.1,0.9476152062416077,24
IG,0.3,0.9419106245040894,24
IG,0.5,0.9341810941696167,24
IG,0.0,0.49551406502723694,25
IG,0.1,0.23592974245548248,25
IG,0.3,0.05814457684755325,25
IG,0.5,0.03151034563779831,25
IG,0.0,0.885743260383606,26
IG,0.1,0.01549087930470705,26
IG,0.3,0.01020713709294796,26
IG,0.5,0.008438777178525925,26
IG,0.0,0.6886119246482849,27
IG,0.1,0.7175528407096863,27
IG,0.3,0.6110936403274536,27
IG,0.5,0.7287604212760925,27
IG,0.0,0.9369924664497375,28
IG,0.1,0.8866004347801208,28
IG,0.3,0.32447895407676697,28
IG,0.5,0.16688276827335358,28
IG,0.0,0.9328019618988037,29
IG,0.1,0.9343838691711426,29
IG,0.3,0.9159190654754639,29
IG,0.5,0.7918792366981506,29
IG,0.0,0.9140815734863281,30
IG,0.1,0.8598055839538574,30
IG,0.3,0.8104752898216248,30
IG,0.5,0.9251151084899902,30
IG,0.0,0.0759144276380539,31
IG,0.1,0.0345337875187397,31
IG,0.3,0.0357515774667263,31
IG,0.5,0.02860073186457157,31
IG,0.0,0.8681309819221497,32
IG,0.1,0.7905356884002686,32
IG,0.3,0.7984501123428345,32
IG,0.5,0.33075007796287537,32
IG,0.0,0.5638254284858704,33
IG,0.1,0.5233463048934937,33
IG,0.3,0.624759316444397,33
IG,0.5,0.02052285335958004,33
IG,0.0,0.9207829236984253,34
IG,0.1,0.7563803791999817,34
IG,0.3,0.09058232605457306,34
IG,0.5,0.018321415409445763,34
IG,0.0,0.7585606575012207,35
IG,0.1,0.3431069850921631,35
IG,0.3,0.027647944167256355,35
IG,0.5,0.013204271905124187,35
IG,0.0,0.7332189083099365,36
IG,0.1,0.8950687646865845,36
IG,0.3,0.8854420185089111,36
IG,0.5,0.8293541073799133,36
IG,0.0,0.7923473715782166,37
IG,0.1,0.7620278000831604,37
IG,0.3,0.7744248509407043,37
IG,0.5,0.29006052017211914,37
IG,0.0,0.9473801851272583,38
IG,0.1,0.889318585395813,38
IG,0.3,0.11275993287563324,38
IG,0.5,0.13152606785297394,38
IG,0.0,0.931516706943512,39
IG,0.1,0.851760745048523,39
IG,0.3,0.24625109136104584,39
IG,0.5,0.12585027515888214,39
IG,0.0,0.9467830657958984,40
IG,0.1,0.9487066864967346,40
IG,0.3,0.9443352818489075,40
IG,0.5,0.9410667419433594,40
IG,0.0,0.9486731290817261,41
IG,0.1,0.9444708824157715,41
IG,0.3,0.9455283880233765,41
IG,0.5,0.9414796233177185,41
IG,0.0,0.9734219908714294,42
IG,0.1,0.9684528708457947,42
IG,0.3,0.02830786257982254,42
IG,0.5,0.015188162215054035,42
IG,0.0,0.8606227040290833,43
IG,0.1,0.8632940649986267,43
IG,0.3,0.8542231321334839,43
IG,0.5,0.6032212972640991,43
IG,0.0,0.8216586112976074,44
IG,0.1,0.8313130736351013,44
IG,0.3,0.4234567880630493,44
IG,0.5,0.3981058597564697,44
IG,0.0,0.28527531027793884,45
IG,0.1,0.057462774217128754,45
IG,0.3,0.08660430461168289,45
IG,0.5,0.0970904752612114,45
IG,0.0,0.8989620804786682,46
IG,0.1,0.8416027426719666,46
IG,0.3,0.7640159130096436,46
IG,0.5,0.7595707178115845,46
IG,0.0,0.7974924445152283,47
IG,0.1,0.4678677022457123,47
IG,0.3,0.5392801761627197,47
IG,0.5,0.6427650451660156,47
IG,0.0,0.465631365776062,48
IG,0.1,0.029252635315060616,48
IG,0.3,0.02189701609313488,48
IG,0.5,0.021008314564824104,48
IG,0.0,0.9393948316574097,49
IG,0.1,0.9366476535797119,49
IG,0.3,0.9253625869750977,49
